emp_no,dept_no,from_date,to_date
11158,d002,11/1/2014,1/1/9999
14611,d002,7/21/2015,1/1/9999
18372,d002,3/15/2016,1/1/9999
10163,d002,3/13/2015,1/1/9999
12164,d002,6/6/2015,1/1/9999
13901,d002,9/25/2016,1/1/9999
10524,d002,3/1/2017,1/1/9999
18534,d002,4/1/2015,1/1/9999
16242,d003,4/13/2015,1/1/9999
15824,d003,8/4/2019,1/1/9999
13887,d003,8/28/2019,1/1/9999
17543,d003,12/28/2015,1/1/9999
17667,d003,9/3/2016,1/1/9999
11281,d003,1/10/2017,1/1/9999
18248,d003,12/3/2014,1/1/9999
12777,d003,9/19/2015,1/1/9999
18013,d003,2/18/2015,1/1/9999
14462,d003,9/23/2015,1/1/9999
16348,d003,3/4/2019,1/1/9999
16758,d003,2/7/2019,1/1/9999
16619,d003,5/8/2018,1/1/9999
19143,d003,9/22/2019,1/1/9999
19373,d003,11/28/2017,1/1/9999
19694,d003,1/31/2018,1/1/9999
12118,d003,8/26/2018,1/1/9999
13562,d003,2/22/2017,1/1/9999
14829,d003,1/29/2019,1/1/9999
13767,d003,11/11/2014,1/1/9999
18944,d003,7/9/2017,1/1/9999
18591,d003,12/26/2016,1/1/9999
19346,d003,8/1/2017,1/1/9999
10574,d003,1/16/2019,1/1/9999
13695,d003,3/11/2017,1/1/9999
16722,d003,10/25/2018,1/1/9999
17477,d003,11/20/2017,1/1/9999
14813,d003,5/10/2015,1/1/9999
19513,d003,5/25/2016,1/1/9999
17149,d003,3/26/2017,1/1/9999
18892,d003,7/7/2014,1/1/9999
13315,d003,6/1/2016,1/1/9999
12088,d003,12/24/2014,1/1/9999
10813,d004,7/1/2018,1/1/9999
16005,d004,11/30/2016,1/1/9999
14279,d004,11/27/2014,1/1/9999
17247,d004,4/9/2019,1/1/9999
19750,d004,10/28/2015,1/1/9999
19732,d004,4/23/2018,1/1/9999
10338,d004,2/7/2018,1/1/9999
15476,d004,2/2/2018,1/1/9999
13094,d004,11/9/2018,1/1/9999
10383,d004,5/21/2016,1/1/9999
11364,d004,5/1/2018,1/1/9999
18543,d004,1/10/2019,1/1/9999
11633,d004,10/21/2015,1/1/9999
10507,d004,5/20/2017,1/1/9999
18175,d004,3/10/2015,1/1/9999
17999,d004,10/21/2015,1/1/9999
16709,d004,1/11/2016,1/1/9999
14339,d004,3/7/2018,1/1/9999
13004,d004,6/26/2015,1/1/9999
14789,d004,11/25/2017,1/1/9999
19832,d004,12/16/2017,1/1/9999
15058,d004,9/1/2017,1/1/9999
16191,d004,12/11/2017,1/1/9999
11691,d004,7/6/2016,1/1/9999
15269,d004,6/14/2015,1/1/9999
14245,d004,2/25/2015,1/1/9999
18076,d004,9/20/2014,1/1/9999
17151,d004,3/25/2016,1/1/9999
11847,d004,5/30/2016,1/1/9999
11682,d004,12/16/2017,1/1/9999
10711,d004,1/19/2017,1/1/9999
15100,d004,12/1/2017,1/1/9999
15726,d004,1/27/2017,1/1/9999
10266,d005,8/25/2016,1/1/9999
18364,d005,4/13/2015,1/1/9999
19172,d005,9/15/2016,1/1/9999
10003,d005,7/14/2016,1/1/9999
10248,d005,6/5/2019,1/1/9999
18056,d005,11/24/2015,1/1/9999
16645,d005,3/14/2016,1/1/9999
16978,d005,11/4/2018,1/1/9999
15249,d005,5/18/2017,1/1/9999
14151,d005,4/13/2017,1/1/9999
19437,d005,6/5/2018,1/1/9999
15694,d005,1/14/2018,1/1/9999
16589,d005,2/25/2016,1/1/9999
16454,d005,9/13/2015,1/1/9999
15721,d005,6/23/2019,1/1/9999
16371,d005,10/7/2015,1/1/9999
15885,d005,9/14/2017,1/1/9999
11047,d005,3/6/2018,1/1/9999
11040,d005,4/25/2019,1/1/9999
19333,d005,5/28/2018,1/1/9999
11340,d005,8/23/2016,1/1/9999
14156,d005,12/18/2014,1/1/9999
16451,d005,10/1/2014,1/1/9999
11483,d005,9/2/2016,1/1/9999
15429,d005,3/16/2018,1/1/9999
12800,d005,1/28/2017,1/1/9999
19680,d005,5/9/2018,1/1/9999
14163,d005,5/25/2017,1/1/9999
18793,d005,7/26/2016,1/1/9999
18057,d005,8/20/2018,1/1/9999
10078,d005,8/13/2014,1/1/9999
16684,d005,5/13/2014,1/1/9999
11831,d006,4/28/2018,1/1/9999
14984,d006,4/17/2017,1/1/9999
16111,d006,1/12/2017,1/1/9999
16336,d006,9/29/2018,1/1/9999
15175,d006,6/15/2014,1/1/9999
19348,d006,5/24/2016,1/1/9999
10020,d006,5/16/2014,1/1/9999
17758,d006,2/12/2017,1/1/9999
18974,d006,9/7/2019,1/1/9999
14380,d006,12/9/2017,1/1/9999
11721,d006,1/16/2018,1/1/9999
14306,d006,6/2/2015,1/1/9999
19765,d006,10/11/2017,1/1/9999
11619,d006,5/14/2014,1/1/9999
11654,d006,10/3/2017,1/1/9999
15399,d006,8/11/2017,1/1/9999
10820,d006,7/19/2014,1/1/9999
16733,d006,4/26/2017,1/1/9999
19993,d006,10/25/2015,1/1/9999
11116,d006,9/26/2016,1/1/9999
15965,d006,10/11/2016,1/1/9999
13444,d006,1/21/2018,1/1/9999
16973,d006,6/6/2017,1/1/9999
16760,d006,7/10/2014,1/1/9999
17144,d006,12/26/2014,1/1/9999
12218,d006,12/28/2014,1/1/9999
16474,d006,12/10/2017,1/1/9999
12984,d006,7/11/2016,1/1/9999
14181,d006,5/9/2019,1/1/9999
10217,d006,12/27/2015,1/1/9999
14784,d006,5/12/2015,1/1/9999
10978,d006,8/6/2016,1/1/9999
19533,d006,5/27/2016,1/1/9999
10341,d006,6/30/2016,1/1/9999
13452,d007,10/25/2016,1/1/9999
14513,d007,5/15/2016,1/1/9999
19637,d007,7/7/2015,1/1/9999
18192,d007,4/30/2018,1/1/9999
19647,d007,1/30/2019,1/1/9999
17086,d007,6/8/2019,1/1/9999
16444,d007,1/6/2018,1/1/9999
10515,d007,8/7/2018,1/1/9999
11435,d007,3/22/2017,1/1/9999
11232,d007,10/12/2017,1/1/9999
11516,d007,10/31/2015,1/1/9999
14126,d007,11/3/2017,1/1/9999
13547,d007,12/17/2015,1/1/9999
10552,d007,4/15/2017,1/1/9999
12632,d007,6/12/2017,1/1/9999
18315,d007,6/16/2016,1/1/9999
18797,d007,9/13/2018,1/1/9999
19633,d007,1/24/2015,1/1/9999
19203,d007,7/12/2015,1/1/9999
13516,d007,8/30/2018,1/1/9999
12013,d007,3/31/2016,1/1/9999
19930,d007,6/11/2014,1/1/9999
10767,d007,6/7/2017,1/1/9999
16353,d007,8/22/2014,1/1/9999
19974,d007,12/8/2017,1/1/9999
16790,d007,3/15/2015,1/1/9999
12136,d007,6/25/2017,1/1/9999
14110,d007,11/29/2017,1/1/9999
13920,d007,6/7/2014,1/1/9999
19322,d007,4/30/2017,1/1/9999
13275,d007,7/3/2019,1/1/9999
16487,d007,6/4/2014,1/1/9999
15283,d007,1/22/2016,1/1/9999
18369,d008,4/15/2018,1/1/9999
13688,d008,12/14/2018,1/1/9999
11906,d008,4/20/2017,1/1/9999
16586,d008,1/23/2016,1/1/9999
10525,d008,12/8/2018,1/1/9999
17770,d008,9/22/2015,1/1/9999
15742,d008,9/30/2014,1/1/9999
18694,d008,4/10/2018,1/1/9999
18739,d008,4/24/2015,1/1/9999
13197,d008,9/30/2019,1/1/9999
14136,d008,5/13/2019,1/1/9999
10704,d008,10/19/2015,1/1/9999
11436,d008,4/26/2016,1/1/9999
16792,d008,6/12/2016,1/1/9999
15328,d008,2/22/2018,1/1/9999
17283,d008,9/13/2019,1/1/9999
11884,d008,12/11/2018,1/1/9999
13811,d008,7/3/2019,1/1/9999
10835,d008,9/20/2016,1/1/9999
16979,d008,8/26/2015,1/1/9999
13724,d008,9/28/2018,1/1/9999
18858,d008,11/21/2015,1/1/9999
12574,d008,11/26/2017,1/1/9999
13024,d008,8/10/2019,1/1/9999
13970,d008,3/20/2019,1/1/9999
13363,d008,6/1/2019,1/1/9999
12025,d008,10/16/2017,1/1/9999
19853,d008,10/28/2017,1/1/9999
