emp_no,title,from_date,to_date
15799,Senior Accounting,03/16/2010,10/01/2014
15799,Finance Management,10/01/2014,01/01/9999
19099,Financial Analyst,03/14/1999,10/24/2003
19099,Finnancial Accountant,10/24/2003,09/15/2009
19099,Senior Accounting,09/15/2009,07/03/2015
19099,Finance Management,07/03/2015,01/01/9999
14149,Financial Analyst,11/14/1999,06/27/2003
14149,Finnancial Accountant,06/27/2003,10/12/2009
14149,Senior Accounting,10/12/2009,12/09/2014
14149,Finance Management,12/09/2014,01/01/9999
14268,Financial Analyst,10/14/1999,07/02/2004
14268,Finnancial Accountant,07/02/2004,09/26/2009
14268,Senior Accounting,09/26/2009,05/25/2015
14268,Finance Management,05/25/2015,01/01/9999
18099,Financial Analyst,05/21/2000,05/26/2004
18099,Finnancial Accountant,05/26/2004,01/22/2010
18099,Senior Accounting,01/22/2010,11/17/2014
18099,Finance Management,11/17/2014,01/01/9999
10726,Financial Analyst,03/20/1999,08/22/2003
10726,Finnancial Accountant,08/22/2003,01/10/2010
10726,Senior Accounting,01/10/2010,10/28/2014
10726,Finance Management,10/28/2014,01/01/9999
11524,Financial Analyst,09/17/2002,02/05/2004
11524,Finnancial Accountant,02/05/2004,11/30/2009
11524,Senior Accounting,11/30/2009,09/26/2014
11524,Finance Management,09/26/2014,01/01/9999
15895,Financial Analyst,02/09/1999,01/03/2004
15895,Finnancial Accountant,01/03/2004,12/15/2009
15895,Senior Accounting,12/15/2009,09/01/2014
15895,Finance Management,09/01/2014,01/01/9999
12105,Financial Analyst,03/09/1999,06/15/2003
12105,Finnancial Accountant,06/15/2003,05/30/2010
12105,Senior Accounting,05/30/2010,08/11/2014
12105,Finance Management,08/11/2014,01/01/9999
12092,Financial Analyst,07/17/2000,06/01/2004
12092,Finnancial Accountant,06/01/2004,07/01/2009
12092,Senior Accounting,07/01/2009,02/05/2015
12092,Finance Management,02/05/2015,01/01/9999
13840,Financial Analyst,05/30/2001,03/23/2004
13840,Finnancial Accountant,03/23/2004,10/19/2009
13840,Senior Accounting,10/19/2009,10/17/2014
13840,Finance Management,10/17/2014,01/01/9999
17211,Financial Analyst,09/29/2001,01/07/2004
17211,Finnancial Accountant,01/07/2004,09/07/2009
17211,Senior Accounting,09/07/2009,12/08/2014
17211,Finance Management,12/08/2014,01/01/9999
12887,Financial Analyst,04/20/1999,10/23/2003
12887,Finnancial Accountant,10/23/2003,06/07/2010
12887,Senior Accounting,06/07/2010,06/16/2015
12887,Finance Management,06/16/2015,01/01/9999
10676,Financial Analyst,04/22/2001,11/15/2003
10676,Finnancial Accountant,11/15/2003,06/25/2010
10676,Senior Accounting,06/25/2010,11/05/2014
10676,Finance Management,11/05/2014,01/01/9999
13507,Financial Analyst,10/27/2000,06/11/2004
13507,Finnancial Accountant,06/11/2004,10/09/2009
13507,Senior Accounting,10/09/2009,01/21/2015
13507,Finance Management,01/21/2015,01/01/9999
17156,Financial Analyst,05/28/2001,08/14/2003
17156,Finnancial Accountant,08/14/2003,01/06/2010
17156,Senior Accounting,01/06/2010,03/06/2015
17156,Finance Management,03/06/2015,01/01/9999
17296,Financial Analyst,08/19/1999,09/14/2003
17296,Finnancial Accountant,09/14/2003,08/09/2009
17296,Senior Accounting,08/09/2009,12/11/2014
17296,Finance Management,12/11/2014,01/01/9999
18389,Entry Level Recruiter,04/03/2002,06/17/2003
18389,Human Resource Associate,06/17/2003,07/26/2009
18389,Human Resource Specialist,07/26/2009,09/26/2014
18389,Human Resources Coordinator,09/26/2014,01/01/9999
16708,Entry Level Recruiter,10/31/2001,08/21/2003
16708,Human Resource Associate,08/21/2003,09/19/2009
16708,Human Resource Specialist,09/19/2009,01/12/2015
16708,Human Resources Coordinator,01/12/2015,01/01/9999
18527,Entry Level Recruiter,04/27/1999,01/10/2004
18527,Human Resource Associate,01/10/2004,08/01/2009
18527,Human Resource Specialist,08/01/2009,05/03/2015
18527,Human Resources Coordinator,05/03/2015,01/01/9999
19393,Entry Level Recruiter,06/24/2002,03/13/2004
19393,Human Resource Associate,03/13/2004,12/31/2009
19393,Human Resource Specialist,12/31/2009,07/22/2014
19393,Human Resources Coordinator,07/22/2014,01/01/9999
18547,Entry Level Recruiter,02/29/2000,07/18/2003
18547,Human Resource Associate,07/18/2003,06/30/2010
18547,Human Resource Specialist,06/30/2010,02/09/2015
18547,Human Resources Coordinator,02/09/2015,01/01/9999
12021,Entry Level Recruiter,03/01/2000,03/19/2004
12021,Human Resource Associate,03/19/2004,06/01/2010
12021,Human Resource Specialist,06/01/2010,04/27/2015
12021,Human Resources Coordinator,04/27/2015,01/01/9999
18764,Entry Level Recruiter,08/02/2002,02/05/2004
18764,Human Resource Associate,02/05/2004,06/12/2010
18764,Human Resource Specialist,06/12/2010,12/29/2014
18764,Human Resources Coordinator,12/29/2014,01/01/9999
10836,Entry Level Recruiter,04/28/1999,02/21/2004
10836,Human Resource Associate,02/21/2004,12/13/2009
10836,Human Resource Specialist,12/13/2009,03/24/2015
10836,Human Resources Coordinator,03/24/2015,01/01/9999
18859,Entry Level Recruiter,02/26/2003,08/28/2003
18859,Human Resource Associate,08/28/2003,05/21/2010
18859,Human Resource Specialist,05/21/2010,06/12/2015
18859,Human Resources Coordinator,06/12/2015,01/01/9999
19231,Entry Level Recruiter,04/19/2000,08/19/2003
19231,Human Resource Associate,08/19/2003,06/18/2010
19231,Human Resource Specialist,06/18/2010,09/04/2014
19231,Human Resources Coordinator,09/04/2014,01/01/9999
15154,Entry Level Recruiter,12/25/2001,10/05/2003
15154,Human Resource Associate,10/05/2003,09/21/2009
15154,Human Resource Specialist,09/21/2009,07/18/2014
15154,Human Resources Coordinator,07/18/2014,01/01/9999
18088,Entry Level Recruiter,09/20/1999,08/12/2003
18088,Human Resource Associate,08/12/2003,02/15/2010
18088,Human Resource Specialist,02/15/2010,12/10/2014
18088,Human Resources Coordinator,12/10/2014,01/01/9999
17065,Entry Level Recruiter,12/13/2000,06/27/2004
17065,Human Resource Associate,06/27/2004,12/27/2009
17065,Human Resource Specialist,12/27/2009,08/31/2014
17065,Human Resources Coordinator,08/31/2014,01/01/9999
16182,Entry Level Recruiter,09/25/2001,04/13/2004
16182,Human Resource Associate,04/13/2004,11/28/2009
16182,Human Resource Specialist,11/28/2009,05/08/2015
16182,Human Resources Coordinator,05/08/2015,01/01/9999
19819,Entry Level Recruiter,05/21/2001,12/24/2003
19819,Human Resource Associate,12/24/2003,06/18/2009
19819,Human Resource Specialist,06/18/2009,06/12/2014
19819,Human Resources Coordinator,06/12/2014,01/01/9999
18147,Entry Level Recruiter,06/20/2002,08/05/2003
18147,Human Resource Associate,08/05/2003,06/28/2010
18147,Human Resource Specialist,06/28/2010,08/29/2014
18147,Human Resources Coordinator,08/29/2014,01/01/9999
11941,Entry Level Recruiter,06/28/2000,07/06/2003
11941,Human Resource Associate,07/06/2003,12/13/2009
11941,Human Resource Specialist,12/13/2009,11/18/2014
11941,Human Resources Coordinator,11/18/2014,01/01/9999
15909,Entry Level Recruiter,08/10/2002,06/07/2004
15909,Human Resource Associate,06/07/2004,08/25/2009
15909,Human Resource Specialist,08/25/2009,12/17/2014
15909,Human Resources Coordinator,12/17/2014,01/01/9999
14381,Entry Level Recruiter,02/07/2001,07/05/2004
14381,Human Resource Associate,07/05/2004,04/18/2010
14381,Human Resource Specialist,04/18/2010,06/27/2014
14381,Human Resources Coordinator,06/27/2014,01/01/9999
16430,Entry Level Recruiter,03/23/1999,05/29/2004
16430,Human Resource Associate,05/29/2004,05/20/2010
16430,Human Resource Specialist,05/20/2010,11/14/2014
16430,Human Resources Coordinator,11/14/2014,01/01/9999
13302,Entry Level Recruiter,12/06/2000,06/27/2004
13302,Human Resource Associate,06/27/2004,02/02/2010
13302,Human Resource Specialist,02/02/2010,02/10/2015
13302,Human Resources Coordinator,02/10/2015,01/01/9999
11836,Entry Level Recruiter,07/15/2002,10/02/2003
11836,Human Resource Associate,10/02/2003,10/14/2009
11836,Human Resource Specialist,10/14/2009,11/14/2014
11836,Human Resources Coordinator,11/14/2014,01/01/9999
15432,Entry Level Recruiter,11/25/2002,05/04/2004
15432,Human Resource Associate,05/04/2004,05/20/2010
15432,Human Resource Specialist,05/20/2010,08/25/2014
15432,Human Resources Coordinator,08/25/2014,01/01/9999
16941,Entry Level Recruiter,01/28/2000,06/29/2004
16941,Human Resource Associate,06/29/2004,06/17/2010
16941,Human Resource Specialist,06/17/2010,07/05/2014
16941,Human Resources Coordinator,07/05/2014,01/01/9999
10287,Entry Level Recruiter,08/11/2002,07/29/2003
10287,Human Resource Associate,07/29/2003,09/14/2009
10287,Human Resource Specialist,09/14/2009,11/29/2014
10287,Human Resources Coordinator,11/29/2014,01/01/9999
13589,Entry Level Recruiter,02/14/2000,11/12/2003
13589,Human Resource Associate,11/12/2003,05/03/2010
13589,Human Resource Specialist,05/03/2010,04/13/2015
13589,Human Resources Coordinator,04/13/2015,01/01/9999
19351,Entry Level Recruiter,04/03/1999,06/23/2004
19351,Human Resource Associate,06/23/2004,08/27/2009
19351,Human Resource Specialist,08/27/2009,10/16/2014
19351,Human Resources Coordinator,10/16/2014,01/01/9999
18987,Entry Level Recruiter,10/29/2002,09/04/2003
18987,Human Resource Associate,09/04/2003,03/03/2010
18987,Human Resource Specialist,03/03/2010,06/04/2015
18987,Human Resources Coordinator,06/04/2015,01/01/9999
18032,Production Worker,08/25/2002,02/18/2004
18032,Entry Level Assembly,02/18/2004,06/28/2010
18032,Production Assistant,06/28/2010,09/07/2014
18032,Production Manager,09/07/2014,01/01/9999
19366,Production Worker,01/19/1999,12/13/2003
19366,Entry Level Assembly,12/13/2003,08/15/2009
19366,Production Assistant,08/15/2009,11/17/2014
19366,Production Manager,11/17/2014,01/01/9999
17105,Production Worker,10/24/2000,05/11/2004
17105,Entry Level Assembly,05/11/2004,10/02/2009
17105,Production Assistant,10/02/2009,10/31/2014
17105,Production Manager,10/31/2014,01/01/9999
19476,Production Worker,03/24/2000,11/09/2003
19476,Entry Level Assembly,11/09/2003,09/26/2009
19476,Production Assistant,09/26/2009,10/18/2014
19476,Production Manager,10/18/2014,01/01/9999
17634,Production Worker,11/29/1999,07/02/2004
17634,Entry Level Assembly,07/02/2004,10/25/2009
17634,Production Assistant,10/25/2009,03/13/2015
17634,Production Manager,03/13/2015,01/01/9999
19964,Production Worker,05/14/2002,02/05/2004
19964,Entry Level Assembly,02/05/2004,03/26/2010
19964,Production Assistant,03/26/2010,04/26/2015
19964,Production Manager,04/26/2015,01/01/9999
16396,Production Worker,10/06/2001,06/24/2004
16396,Entry Level Assembly,06/24/2004,05/20/2010
16396,Production Assistant,05/20/2010,08/16/2014
16396,Production Manager,08/16/2014,01/01/9999
19562,Production Worker,08/05/2000,06/15/2004
19562,Entry Level Assembly,06/15/2004,06/03/2010
19562,Production Assistant,06/03/2010,08/25/2014
19562,Production Manager,08/25/2014,01/01/9999
13854,Production Worker,11/23/1998,06/07/2004
13854,Entry Level Assembly,06/07/2004,07/02/2009
13854,Production Assistant,07/02/2009,04/04/2015
13854,Production Manager,04/04/2015,01/01/9999
14377,Production Worker,09/27/2002,04/27/2004
14377,Entry Level Assembly,04/27/2004,09/05/2009
14377,Production Assistant,09/05/2009,01/19/2015
14377,Production Manager,01/19/2015,01/01/9999
15491,Production Worker,12/22/2002,05/28/2004
15491,Entry Level Assembly,05/28/2004,05/21/2010
15491,Production Assistant,05/21/2010,06/14/2015
15491,Production Manager,06/14/2015,01/01/9999
12229,Production Worker,11/19/2001,06/08/2003
12229,Entry Level Assembly,06/08/2003,07/14/2009
12229,Production Assistant,07/14/2009,03/28/2015
12229,Production Manager,03/28/2015,01/01/9999
15147,Production Worker,03/11/2002,01/01/2004
15147,Entry Level Assembly,01/01/2004,09/28/2009
15147,Production Assistant,09/28/2009,01/13/2015
15147,Production Manager,01/13/2015,01/01/9999
10381,Production Worker,09/05/2001,12/15/2003
10381,Entry Level Assembly,12/15/2003,02/15/2010
10381,Production Assistant,02/15/2010,04/30/2015
10381,Production Manager,04/30/2015,01/01/9999
16773,Production Worker,12/28/2001,08/13/2003
16773,Entry Level Assembly,08/13/2003,07/02/2010
16773,Production Assistant,07/02/2010,04/24/2015
16773,Production Manager,04/24/2015,01/01/9999
14315,Production Worker,03/04/2002,01/13/2004
14315,Entry Level Assembly,01/13/2004,04/09/2010
14315,Production Assistant,04/09/2010,10/01/2014
14315,Production Manager,10/01/2014,01/01/9999
13694,Production Worker,05/28/2002,11/04/2003
13694,Entry Level Assembly,11/04/2003,08/14/2009
13694,Production Assistant,08/14/2009,05/24/2015
13694,Production Manager,05/24/2015,01/01/9999
16530,Production Worker,02/18/2000,11/03/2003
16530,Entry Level Assembly,11/03/2003,06/17/2010
16530,Production Assistant,06/17/2010,01/31/2015
16530,Production Manager,01/31/2015,01/01/9999
11255,Production Worker,01/14/2000,12/14/2003
11255,Entry Level Assembly,12/14/2003,04/08/2010
11255,Production Assistant,04/08/2010,06/08/2015
11255,Production Manager,06/08/2015,01/01/9999
14499,Production Worker,01/23/2002,05/17/2004
14499,Entry Level Assembly,05/17/2004,04/06/2010
14499,Production Assistant,04/06/2010,04/01/2015
14499,Production Manager,04/01/2015,01/01/9999
17030,Production Worker,11/12/1999,06/19/2004
17030,Entry Level Assembly,06/19/2004,11/25/2009
17030,Production Assistant,11/25/2009,07/28/2014
17030,Production Manager,07/28/2014,01/01/9999
13530,Production Worker,04/15/1999,01/28/2004
13530,Entry Level Assembly,01/28/2004,07/13/2009
13530,Production Assistant,07/13/2009,02/17/2015
13530,Production Manager,02/17/2015,01/01/9999
15548,Production Worker,10/10/1998,05/31/2004
15548,Entry Level Assembly,05/31/2004,02/07/2010
15548,Production Assistant,02/07/2010,12/19/2014
15548,Production Manager,12/19/2014,01/01/9999
14213,Production Worker,12/06/2002,08/07/2003
14213,Entry Level Assembly,08/07/2003,01/19/2010
14213,Production Assistant,01/19/2010,09/03/2014
14213,Production Manager,09/03/2014,01/01/9999
10358,Production Worker,12/20/1999,07/01/2004
10358,Entry Level Assembly,07/01/2004,08/16/2009
10358,Production Assistant,08/16/2009,11/21/2014
10358,Production Manager,11/21/2014,01/01/9999
19886,Production Worker,04/12/2001,10/02/2003
19886,Entry Level Assembly,10/02/2003,11/11/2009
19886,Production Assistant,11/11/2009,04/22/2015
19886,Production Manager,04/22/2015,01/01/9999
18111,Production Worker,05/02/2000,03/15/2004
18111,Entry Level Assembly,03/15/2004,09/26/2009
18111,Production Assistant,09/26/2009,03/21/2015
18111,Production Manager,03/21/2015,01/01/9999
14496,Production Worker,12/14/1999,07/30/2003
14496,Entry Level Assembly,07/30/2003,12/08/2009
14496,Production Assistant,12/08/2009,12/07/2014
14496,Production Manager,12/07/2014,01/01/9999
15125,Web Developer,05/10/2002,03/18/2004
15125,Junior Web Dev,03/18/2004,10/15/2009
15125,Senior Web Development,10/15/2009,12/07/2014
15125,Development Project Manager,12/07/2014,01/01/9999
12510,Web Developer,04/13/1999,03/19/2004
12510,Junior Web Dev,03/19/2004,12/08/2009
12510,Senior Web Development,12/08/2009,11/13/2014
12510,Development Project Manager,11/13/2014,01/01/9999
16064,Web Developer,06/25/1999,05/07/2004
16064,Junior Web Dev,05/07/2004,07/01/2010
16064,Senior Web Development,07/01/2010,08/06/2014
16064,Development Project Manager,08/06/2014,01/01/9999
17887,Web Developer,08/25/2002,04/30/2004
17887,Junior Web Dev,04/30/2004,02/08/2010
17887,Senior Web Development,02/08/2010,01/10/2015
17887,Development Project Manager,01/10/2015,01/01/9999
10518,Web Developer,02/24/2000,10/20/2003
10518,Junior Web Dev,10/20/2003,06/21/2009
10518,Senior Web Development,06/21/2009,08/09/2014
10518,Development Project Manager,08/09/2014,01/01/9999
15436,Web Developer,01/19/2000,02/03/2004
15436,Junior Web Dev,02/03/2004,12/11/2009
15436,Senior Web Development,12/11/2009,06/27/2015
15436,Development Project Manager,06/27/2015,01/01/9999
19371,Web Developer,04/16/2001,10/29/2003
19371,Junior Web Dev,10/29/2003,04/17/2010
19371,Senior Web Development,04/17/2010,08/19/2014
19371,Development Project Manager,08/19/2014,01/01/9999
16316,Web Developer,03/08/2002,11/01/2003
16316,Junior Web Dev,11/01/2003,06/02/2010
16316,Senior Web Development,06/02/2010,06/20/2015
16316,Development Project Manager,06/20/2015,01/01/9999
11973,Web Developer,12/31/1998,09/26/2003
11973,Junior Web Dev,09/26/2003,05/23/2010
11973,Senior Web Development,05/23/2010,07/31/2014
11973,Development Project Manager,07/31/2014,01/01/9999
17524,Web Developer,01/23/1999,02/04/2004
17524,Junior Web Dev,02/04/2004,03/22/2010
17524,Senior Web Development,03/22/2010,06/16/2015
17524,Development Project Manager,06/16/2015,01/01/9999
18883,Web Developer,04/18/2003,06/16/2004
18883,Junior Web Dev,06/16/2004,06/23/2009
18883,Senior Web Development,06/23/2009,12/02/2014
18883,Development Project Manager,12/02/2014,01/01/9999
18562,Web Developer,08/07/2001,08/01/2003
18562,Junior Web Dev,08/01/2003,03/19/2010
18562,Senior Web Development,03/19/2010,12/21/2014
18562,Development Project Manager,12/21/2014,01/01/9999
10724,Web Developer,02/27/1999,04/03/2004
10724,Junior Web Dev,04/03/2004,08/25/2009
10724,Senior Web Development,08/25/2009,06/17/2014
10724,Development Project Manager,06/17/2014,01/01/9999
17535,Web Developer,11/25/2002,12/09/2003
17535,Junior Web Dev,12/09/2003,12/05/2009
17535,Senior Web Development,12/05/2009,03/17/2015
17535,Development Project Manager,03/17/2015,01/01/9999
16082,Web Developer,12/01/1998,02/26/2004
16082,Junior Web Dev,02/26/2004,07/10/2009
16082,Senior Web Development,07/10/2009,03/16/2015
16082,Development Project Manager,03/16/2015,01/01/9999
15932,Web Developer,03/30/2003,01/08/2004
15932,Junior Web Dev,01/08/2004,09/02/2009
15932,Senior Web Development,09/02/2009,06/16/2015
15932,Development Project Manager,06/16/2015,01/01/9999
11634,Web Developer,03/31/2003,11/09/2003
11634,Junior Web Dev,11/09/2003,10/06/2009
11634,Senior Web Development,10/06/2009,09/30/2014
11634,Development Project Manager,09/30/2014,01/01/9999
12082,Web Developer,05/15/1999,05/24/2004
12082,Junior Web Dev,05/24/2004,08/30/2009
12082,Senior Web Development,08/30/2009,09/15/2014
12082,Development Project Manager,09/15/2014,01/01/9999
19711,Web Developer,03/14/2001,07/08/2003
19711,Junior Web Dev,07/08/2003,08/21/2009
19711,Senior Web Development,08/21/2009,02/02/2015
19711,Development Project Manager,02/02/2015,01/01/9999
19436,Web Developer,11/27/1998,02/03/2004
19436,Junior Web Dev,02/03/2004,10/08/2009
19436,Senior Web Development,10/08/2009,02/01/2015
19436,Development Project Manager,02/01/2015,01/01/9999
18899,Web Developer,02/02/2003,03/13/2004
18899,Junior Web Dev,03/13/2004,02/20/2010
18899,Senior Web Development,02/20/2010,09/02/2014
18899,Development Project Manager,09/02/2014,01/01/9999
16184,Web Developer,09/08/2000,11/02/2003
16184,Junior Web Dev,11/02/2003,04/07/2010
16184,Senior Web Development,04/07/2010,06/13/2014
16184,Development Project Manager,06/13/2014,01/01/9999
10827,Web Developer,06/26/1999,06/26/2003
10827,Junior Web Dev,06/26/2003,06/10/2009
10827,Senior Web Development,06/10/2009,11/04/2014
10827,Development Project Manager,11/04/2014,01/01/9999
17688,Web Developer,06/14/2000,04/11/2004
17688,Junior Web Dev,04/11/2004,03/19/2010
17688,Senior Web Development,03/19/2010,12/06/2014
17688,Development Project Manager,12/06/2014,01/01/9999
15809,Web Developer,03/19/2000,01/16/2004
15809,Junior Web Dev,01/16/2004,02/27/2010
15809,Senior Web Development,02/27/2010,10/06/2014
15809,Development Project Manager,10/06/2014,01/01/9999
12752,Web Developer,02/19/2000,09/02/2003
