emp_no,salary,from_date,to_date
16047,41782.73,03/30/2016,01/01/9999
12668,30571,05/26/2008,03/16/2011
12668,36111,03/16/2011,08/07/2013
12668,38654.52,08/07/2013,08/28/2016
12668,40667.73,08/28/2016,01/01/9999
14341,29069,04/29/2005,07/30/2010
14341,40164,07/30/2010,05/08/2013
14341,42707.52,05/08/2013,04/04/2016
14341,44720.73,04/04/2016,01/01/9999
18684,32082,01/20/2004,07/05/2011
18684,36523,07/05/2011,04/27/2013
18684,39066.52,04/27/2013,07/01/2016
18684,41079.73,07/01/2016,01/01/9999
14583,31620,05/11/2007,04/19/2011
14583,37075,04/19/2011,12/09/2012
14583,39618.52,12/09/2012,05/18/2016
14583,41631.73,05/18/2016,01/01/9999
10103,27649,04/23/2009,05/10/2011
10103,38400,05/10/2011,12/21/2012
10103,40943.52,12/21/2012,10/11/2016
10103,42956.73,10/11/2016,01/01/9999
14395,32310,08/03/2003,09/11/2011
14395,37498,09/11/2011,07/21/2013
14395,40041.52,07/21/2013,05/29/2016
14395,42054.73,05/29/2016,01/01/9999
13732,29207,02/06/2009,03/25/2011
13732,40835,03/25/2011,04/18/2013
13732,43378.52,04/18/2013,09/23/2016
13732,45391.73,09/23/2016,01/01/9999
11075,29083,04/14/2008,06/23/2011
11075,38990,06/23/2011,07/04/2013
11075,41533.52,07/04/2013,11/07/2015
11075,43546.73,11/07/2015,01/01/9999
15550,33082,05/02/2008,08/29/2010
15550,37523,08/29/2010,03/09/2013
15550,40066.52,03/09/2013,08/05/2016
15550,42079.73,08/05/2016,01/01/9999
10901,31884,07/16/2005,06/19/2010
10901,42870,06/19/2010,04/06/2013
10901,45413.52,04/06/2013,02/16/2016
10901,47426.73,02/16/2016,01/01/9999
19463,29562,03/08/2006,04/06/2011
19463,43099,04/06/2011,06/29/2013
19463,45642.52,06/29/2013,03/28/2016
19463,47655.73,03/28/2016,01/01/9999
16823,33218,12/07/2005,08/06/2011
16823,42860,08/06/2011,02/16/2013
16823,45403.52,02/16/2013,12/22/2015
16823,47416.73,12/22/2015,01/01/9999
14934,26261,07/17/2003,01/27/2011
14934,44046,01/27/2011,09/14/2013
14934,46589.52,09/14/2013,06/04/2016
14934,48602.73,06/04/2016,01/01/9999
10861,25164,07/25/2007,07/03/2010
10861,43744,07/03/2010,04/30/2013
10861,46287.52,04/30/2013,06/24/2016
10861,48300.73,06/24/2016,01/01/9999
13888,34651,10/22/2004,11/29/2010
13888,40043,11/29/2010,10/29/2013
13888,42586.52,10/29/2013,02/08/2016
13888,44599.73,02/08/2016,01/01/9999
17452,30633,05/12/2003,02/19/2011
17452,42516,02/19/2011,08/30/2013
17452,45059.52,08/30/2013,05/12/2016
17452,47072.73,05/12/2016,01/01/9999
17676,28331,09/06/2003,05/20/2011
17676,41488,05/20/2011,08/20/2013
17676,44031.52,08/20/2013,04/22/2016
17676,46044.73,04/22/2016,01/01/9999
11864,28565,07/23/2008,01/17/2011
11864,42360,01/17/2011,04/23/2013
11864,44903.52,04/23/2013,08/18/2016
11864,46916.73,08/18/2016,01/01/9999
10620,26169,02/07/2009,09/16/2011
10620,44819,09/16/2011,05/10/2013
10620,47362.52,05/10/2013,01/29/2016
10620,49375.73,01/29/2016,01/01/9999
11149,27153,09/28/2004,08/12/2010
11149,43066,08/12/2010,12/25/2012
11149,45609.52,12/25/2012,03/03/2016
11149,47622.73,03/03/2016,01/01/9999
17241,31779,03/07/2007,01/13/2011
17241,42728,01/13/2011,10/07/2013
17241,45271.52,10/07/2013,04/26/2016
17241,47284.73,04/26/2016,01/01/9999
19372,30240,10/14/2007,10/20/2010
19372,43852,10/20/2010,07/22/2013
19372,46395.52,07/22/2013,05/27/2016
19372,48408.73,05/27/2016,01/01/9999
19114,34874,08/24/2006,09/17/2011
19114,42079,09/17/2011,02/18/2013
19114,44622.52,02/18/2013,10/15/2016
19114,46635.73,10/15/2016,01/01/9999
13843,31384,03/20/2009,06/26/2011
13843,41374,06/26/2011,08/22/2013
13843,43917.52,08/22/2013,01/24/2016
13843,45930.73,01/24/2016,01/01/9999
14336,29251,02/16/2009,05/02/2011
14336,41383,05/02/2011,08/02/2013
14336,43926.52,08/02/2013,05/21/2016
14336,45939.73,05/21/2016,01/01/9999
16426,30323,12/05/2005,11/01/2010
16426,42853,11/01/2010,03/19/2013
16426,45396.52,03/19/2013,09/07/2016
16426,47409.73,09/07/2016,01/01/9999
17964,33626,07/08/2006,09/04/2010
17964,43792,09/04/2010,06/26/2013
17964,46335.52,06/26/2013,12/15/2015
17964,48348.73,12/15/2015,01/01/9999
15296,25978,03/28/2008,08/21/2010
15296,43651,08/21/2010,07/01/2013
15296,46194.52,07/01/2013,06/22/2016
15296,48207.73,06/22/2016,01/01/9999
14792,29476,11/03/2005,06/21/2011
14792,44771,06/21/2011,01/25/2013
14792,47314.52,01/25/2013,01/06/2016
14792,49327.73,01/06/2016,01/01/9999
13269,26988,10/20/2004,12/21/2010
13269,41785,12/21/2010,05/25/2013
13269,44328.52,05/25/2013,07/28/2016
13269,46341.73,07/28/2016,01/01/9999
18191,25955,09/09/2004,02/16/2011
18191,44507,02/16/2011,06/06/2013
18191,47050.52,06/06/2013,12/10/2015
18191,49063.73,12/10/2015,01/01/9999
14035,27773,10/21/2005,10/16/2011
14035,40266,10/16/2011,04/26/2013
14035,42809.52,04/26/2013,07/25/2016
14035,44822.73,07/25/2016,01/01/9999
18803,28822,07/09/2003,12/23/2010
18803,42059,12/23/2010,10/08/2013
18803,44602.52,10/08/2013,07/13/2016
18803,46615.73,07/13/2016,01/01/9999
14262,34383,11/09/2008,08/24/2011
14262,40744,08/24/2011,07/08/2013
14262,43287.52,07/08/2013,02/14/2016
14262,45300.73,02/14/2016,01/01/9999
14294,29366,06/10/2003,08/07/2010
14294,44537,08/07/2010,12/08/2012
14294,47080.52,12/08/2012,09/18/2016
14294,49093.73,09/18/2016,01/01/9999
10739,28498,06/28/2004,04/20/2011
10739,43406,04/20/2011,09/30/2013
10739,45949.52,09/30/2013,10/28/2016
10739,47962.73,10/28/2016,01/01/9999
13785,25708,12/20/2007,05/14/2010
13785,40404,05/14/2010,02/17/2013
13785,42947.52,02/17/2013,12/05/2015
13785,44960.73,12/05/2015,01/01/9999
17103,29860,03/21/2008,05/05/2011
17103,40380,05/05/2011,01/16/2013
17103,42923.52,01/16/2013,12/09/2015
17103,44936.73,12/09/2015,01/01/9999
11121,26041,08/04/2006,12/20/2010
11121,42646,12/20/2010,04/15/2013
11121,45189.52,04/15/2013,01/16/2016
11121,47202.73,01/16/2016,01/01/9999
12948,27379,06/25/2003,03/10/2011
12948,41267,03/10/2011,04/28/2013
12948,43810.52,04/28/2013,07/21/2016
12948,45823.73,07/21/2016,01/01/9999
15194,29718,01/24/2006,09/19/2010
15194,41474,09/19/2010,05/28/2013
15194,44017.52,05/28/2013,01/27/2016
15194,46030.73,01/27/2016,01/01/9999
15149,28550,04/30/2005,10/09/2011
15149,42902,10/09/2011,10/12/2013
15149,45445.52,10/12/2013,03/16/2016
15149,47458.73,03/16/2016,01/01/9999
17098,26636,09/19/2006,05/12/2010
17098,37643,05/12/2010,02/27/2013
17098,40186.52,02/27/2013,05/15/2016
17098,42199.73,05/15/2016,01/01/9999
18507,31954,04/04/2005,10/26/2010
18507,37653,10/26/2010,11/29/2012
18507,40196.52,11/29/2012,09/19/2016
18507,42209.73,09/19/2016,01/01/9999
17714,32504,07/26/2003,12/26/2010
17714,36564,12/26/2010,02/09/2013
17714,39107.52,02/09/2013,09/10/2016
17714,41120.73,09/10/2016,01/01/9999
18850,27350,11/23/2004,06/22/2011
18850,38433,06/22/2011,12/30/2012
18850,40976.52,12/30/2012,03/02/2016
18850,42989.73,03/02/2016,01/01/9999
12009,33650,11/05/2004,08/13/2010
12009,36074,08/13/2010,11/19/2012
12009,38617.52,11/19/2012,05/12/2016
12009,40630.73,05/12/2016,01/01/9999
19210,31122,08/03/2004,09/15/2010
19210,36799,09/15/2010,08/05/2013
19210,39342.52,08/05/2013,12/14/2015
19210,41355.73,12/14/2015,01/01/9999
11142,34236,09/11/2003,06/16/2011
11142,37734,06/16/2011,06/12/2013
11142,40277.52,06/12/2013,03/17/2016
11142,42290.73,03/17/2016,01/01/9999
13657,32995,04/10/2008,02/18/2011
13657,36603,02/18/2011,09/09/2013
13657,39146.52,09/09/2013,06/22/2016
13657,41159.73,06/22/2016,01/01/9999
15934,29829,01/30/2006,05/14/2011
15934,38540,05/14/2011,03/11/2013
15934,41083.52,03/11/2013,10/19/2016
15934,43096.73,10/19/2016,01/01/9999
18844,31224,05/15/2007,03/03/2011
18844,38700,03/03/2011,09/21/2013
18844,41243.52,09/21/2013,04/06/2016
18844,43256.73,04/06/2016,01/01/9999
17121,34983,01/25/2009,11/22/2010
17121,38476,11/22/2010,11/09/2012
17121,41019.52,11/09/2012,09/05/2016
17121,43032.73,09/05/2016,01/01/9999
14597,28199,09/06/2005,12/30/2010
14597,36853,12/30/2010,02/24/2013
14597,39396.52,02/24/2013,12/10/2015
14597,41409.73,12/10/2015,01/01/9999
17711,31841,01/26/2005,10/01/2011
17711,36211,10/01/2011,03/25/2013
17711,38754.52,03/25/2013,05/03/2016
17711,40767.73,05/03/2016,01/01/9999
15767,31526,03/13/2009,12/14/2010
15767,38535,12/14/2010,03/28/2013
15767,41078.52,03/28/2013,12/08/2015
15767,43091.73,12/08/2015,01/01/9999
10594,29447,12/09/2004,04/12/2011
10594,37259,04/12/2011,10/11/2013
10594,39802.52,10/11/2013,12/02/2015
10594,41815.73,12/02/2015,01/01/9999
13308,28713,12/26/2008,05/20/2010
13308,37335,05/20/2010,08/24/2013
13308,39878.52,08/24/2013,04/14/2016
13308,41891.73,04/14/2016,01/01/9999
19113,30839,11/28/2007,08/29/2010
19113,37699,08/29/2010,04/27/2013
19113,40242.52,04/27/2013,10/19/2016
19113,42255.73,10/19/2016,01/01/9999
11482,28399,08/23/2008,10/06/2010
11482,38224,10/06/2010,03/23/2013
11482,40767.52,03/23/2013,10/28/2016
11482,42780.73,10/28/2016,01/01/9999
12615,28539,02/14/2007,09/07/2010
12615,36529,09/07/2010,10/05/2013
12615,39072.52,10/05/2013,03/08/2016
12615,41085.73,03/08/2016,01/01/9999
19913,33390,07/16/2007,09/21/2010
19913,38141,09/21/2010,11/17/2012
19913,40684.52,11/17/2012,08/01/2016
19913,42697.73,08/01/2016,01/01/9999
11260,27550,08/30/2006,08/15/2011
11260,37781,08/15/2011,07/15/2013
11260,40324.52,07/15/2013,06/11/2016
11260,42337.73,06/11/2016,01/01/9999
10561,25697,04/13/2006,04/22/2011
10561,36583,04/22/2011,10/06/2013
10561,39126.52,10/06/2013,01/15/2016
10561,41139.73,01/15/2016,01/01/9999
10204,33004,07/05/2003,08/02/2011
10204,38515,08/02/2011,01/20/2013
10204,41058.52,01/20/2013,10/03/2016
10204,43071.73,10/03/2016,01/01/9999
17155,25883,04/26/2009,11/22/2010
17155,36596,11/22/2010,12/07/2012
17155,39139.52,12/07/2012,03/16/2016
17155,41152.73,03/16/2016,01/01/9999
12672,27457,03/19/2009,03/11/2011
12672,37115,03/11/2011,11/30/2012
12672,39658.52,11/30/2012,11/30/2015
12672,41671.73,11/30/2015,01/01/9999
18893,34906,01/12/2004,05/14/2010
18893,38764,05/14/2010,07/08/2013
18893,41307.52,07/08/2013,05/26/2016
18893,43320.73,05/26/2016,01/01/9999
11805,27816,07/07/2006,09/03/2011
11805,37387,09/03/2011,05/28/2013
11805,39930.52,05/28/2013,06/21/2016
11805,41943.73,06/21/2016,01/01/9999
19094,29734,08/19/2008,03/14/2011
19094,36186,03/14/2011,10/29/2013
19094,38729.52,10/29/2013,03/31/2016
19094,40742.73,03/31/2016,01/01/9999
18976,29552,01/13/2005,08/11/2010
18976,38842,08/11/2010,09/23/2013
18976,41385.52,09/23/2013,05/04/2016
18976,43398.73,05/04/2016,01/01/9999
18922,27574,01/15/2007,06/16/2011
18922,36490,06/16/2011,10/11/2013
18922,39033.52,10/11/2013,02/05/2016
18922,41046.73,02/05/2016,01/01/9999
13421,34926,03/26/2004,02/17/2011
13421,36041,02/17/2011,08/14/2013
13421,38584.52,08/14/2013,04/12/2016
13421,40597.73,04/12/2016,01/01/9999
10412,27006,03/23/2006,11/20/2010
10412,36850,11/20/2010,01/02/2013
10412,39393.52,01/02/2013,01/23/2016
10412,41406.73,01/23/2016,01/01/9999
14697,34723,06/16/2008,07/09/2011
14697,38248,07/09/2011,12/08/2012
14697,40791.52,12/08/2012,05/29/2016
14697,42804.73,05/29/2016,01/01/9999
13032,25535,03/23/2009,10/25/2010
13032,29170,10/25/2010,10/18/2013
13032,31713.52,10/18/2013,02/27/2016
13032,33726.73,02/27/2016,01/01/9999
17757,25510,09/15/2004,02/02/2011
17757,29068,02/02/2011,05/13/2013
17757,31611.52,05/13/2013,06/14/2016
17757,33624.73,06/14/2016,01/01/9999
11754,25371,02/25/2009,01/20/2011
11754,29418,01/20/2011,03/14/2013
11754,31961.52,03/14/2013,01/15/2016
11754,33974.73,01/15/2016,01/01/9999
10069,25028,02/23/2007,03/15/2011
10069,30208,03/15/2011,12/28/2012
10069,32751.52,12/28/2012,03/23/2016
10069,34764.73,03/23/2016,01/01/9999
19464,25777,04/21/2008,09/05/2011
19464,30447,09/05/2011,01/10/2013
19464,32990.52,01/10/2013,06/07/2016
19464,35003.73,06/07/2016,01/01/9999
18265,25414,12/30/2007,04/24/2011
18265,30612,04/24/2011,12/31/2012
18265,33155.52,12/31/2012,05/16/2016
18265,35168.73,05/16/2016,01/01/9999
10303,25563,11/15/2005,10/20/2010
10303,30658,10/20/2010,05/26/2013
10303,33201.52,05/26/2013,01/26/2016
10303,35214.73,01/26/2016,01/01/9999
10406,24595,05/30/2004,02/13/2011
10406,30924,02/13/2011,03/31/2013
10406,33467.52,03/31/2013,11/18/2015
10406,35480.73,11/18/2015,01/01/9999
14424,24120,05/28/2005,08/16/2011
14424,30505,08/16/2011,08/21/2013
14424,33048.52,08/21/2013,07/27/2016
14424,35061.73,07/27/2016,01/01/9999
13050,25323,06/23/2003,10/18/2010
13050,29549,10/18/2010,01/08/2013
13050,32092.52,01/08/2013,10/04/2016
13050,34105.73,10/04/2016,01/01/9999
18862,24917,06/30/2007,03/22/2011
18862,30237,03/22/2011,01/21/2013
18862,32780.52,01/21/2013,06/18/2016
18862,34793.73,06/18/2016,01/01/9999
13404,25108,05/12/2003,07/11/2011
13404,30336,07/11/2011,11/16/2012
13404,32879.52,11/16/2012,08/16/2016
13404,34892.73,08/16/2016,01/01/9999
13493,25345,03/08/2006,09/18/2011
13493,30587,09/18/2011,08/26/2013
13493,33130.52,08/26/2013,01/06/2016
13493,35143.73,01/06/2016,01/01/9999
19908,25762,11/18/2005,05/10/2011
19908,29102,05/10/2011,05/06/2013
19908,31645.52,05/06/2013,04/19/2016
19908,33658.73,04/19/2016,01/01/9999
10340,24000,12/07/2006,07/04/2010
10340,29942,07/04/2010,07/31/2013
10340,32485.52,07/31/2013,07/18/2016
10340,34498.73,07/18/2016,01/01/9999
10202,25135,04/01/2006,02/06/2011
10202,29885,02/06/2011,05/28/2013
10202,32428.52,05/28/2013,08/08/2016
10202,34441.73,08/08/2016,01/01/9999
14490,25053,01/28/2006,05/22/2011
14490,30495,05/22/2011,05/21/2013
14490,33038.52,05/21/2013,06/26/2016
14490,35051.73,06/26/2016,01/01/9999
12803,24751,02/16/2006,07/16/2011
12803,29517,07/16/2011,02/16/2013
12803,32060.52,02/16/2013,07/13/2016
12803,34073.73,07/13/2016,01/01/9999
10094,25998,06/11/2006,08/17/2011
10094,29081,08/17/2011,02/23/2013
10094,31624.52,02/23/2013,05/06/2016
10094,33637.73,05/06/2016,01/01/9999
10604,25871,01/16/2008,06/18/2010
10604,29761,06/18/2010,12/03/2012
10604,32304.52,12/03/2012,03/14/2016
10604,34317.73,03/14/2016,01/01/9999
12171,25575,08/17/2003,06/06/2011
12171,30329,06/06/2011,07/01/2013
12171,32872.52,07/01/2013,06/17/2016
12171,34885.73,06/17/2016,01/01/9999
18199,25204,09/06/2007,09/05/2010
18199,30678,09/05/2010,09/18/2013
18199,33221.52,09/18/2013,07/11/2016
18199,35234.73,07/11/2016,01/01/9999
12602,24326,12/23/2008,01/06/2011
12602,29830,01/06/2011,11/12/2012
12602,32373.52,11/12/2012,09/21/2016
12602,34386.73,09/21/2016,01/01/9999
17364,24216,11/27/2004,08/26/2010
17364,29244,08/26/2010,03/14/2013
17364,31787.52,03/14/2013,01/22/2016
17364,33800.73,01/22/2016,01/01/9999
12032,25787,09/02/2005,05/18/2010
12032,30004,05/18/2010,06/11/2013
12032,32547.52,06/11/2013,03/11/2016
12032,34560.73,03/11/2016,01/01/9999
10211,25689,02/04/2008,06/24/2011
10211,30247,06/24/2011,03/05/2013
10211,32790.52,03/05/2013,08/22/2016
10211,34803.73,08/22/2016,01/01/9999
10269,24595,12/30/2006,05/18/2010
10269,29640,05/18/2010,06/20/2013
10269,32183.52,06/20/2013,04/04/2016
10269,34196.73,04/04/2016,01/01/9999
10111,25956,12/24/2005,09/21/2010
10111,30456,09/21/2010,05/05/2013
10111,32999.52,05/05/2013,08/08/2016
10111,35012.73,08/08/2016,01/01/9999
13975,24249,06/20/2004,01/06/2011
13975,29430,01/06/2011,02/13/2013
13975,31973.52,02/13/2013,07/07/2016
13975,33986.73,07/07/2016,01/01/9999
11005,24105,11/15/2008,06/12/2011
11005,30487,06/12/2011,02/27/2013
11005,33030.52,02/27/2013,05/01/2016
11005,35043.73,05/01/2016,01/01/9999
14486,24382,09/13/2004,06/24/2011
14486,29433,06/24/2011,11/26/2012
14486,31976.52,11/26/2012,12/30/2015
14486,33989.73,12/30/2015,01/01/9999
17014,25268,12/05/2006,04/22/2011
17014,29952,04/22/2011,11/12/2012
17014,32495.52,11/12/2012,10/31/2016
17014,34508.73,10/31/2016,01/01/9999
17077,24252,07/27/2005,12/07/2010
17077,30765,12/07/2010,05/11/2013
17077,33308.52,05/11/2013,10/26/2016
17077,35321.73,10/26/2016,01/01/9999
15223,43372,08/02/2007,11/10/2010
15223,51197,11/10/2010,12/02/2012
15223,53740.52,12/02/2012,01/12/2016
15223,55753.73,01/12/2016,01/01/9999
14251,46815,06/13/2004,04/08/2011
14251,50503,04/08/2011,03/10/2013
14251,53046.52,03/10/2013,10/17/2016
14251,55059.73,10/17/2016,01/01/9999
15611,46651,08/06/2008,06/04/2011
15611,50714,06/04/2011,04/03/2013
15611,53257.52,04/03/2013,02/15/2016
15611,55270.73,02/15/2016,01/01/9999
16542,46349,05/10/2008,09/07/2011
16542,52508,09/07/2011,08/20/2013
16542,55051.52,08/20/2013,10/21/2016
16542,57064.73,10/21/2016,01/01/9999
11641,46022,08/23/2005,09/06/2010
11641,51935,09/06/2010,12/02/2012
11641,54478.52,12/02/2012,11/29/2015
11641,56491.73,11/29/2015,01/01/9999
16236,44879,03/04/2009,08/10/2010
16236,51992,08/10/2010,07/07/2013
16236,54535.52,07/07/2013,07/11/2016
16236,56548.73,07/11/2016,01/01/9999
19251,45073,08/23/2005,05/12/2011
19251,49013,05/12/2011,05/25/2013
19251,51556.52,05/25/2013,03/28/2016
19251,53569.73,03/28/2016,01/01/9999
12380,44107,02/08/2004,09/20/2010
12380,52326,09/20/2010,04/15/2013
12380,54869.52,04/15/2013,09/01/2016
12380,56882.73,09/01/2016,01/01/9999
13659,43048,10/27/2007,02/18/2011
13659,52017,02/18/2011,05/03/2013
13659,54560.52,05/03/2013,11/12/2015
13659,56573.73,11/12/2015,01/01/9999
18542,46094,08/17/2008,09/25/2010
18542,51005,09/25/2010,03/17/2013
18542,53548.52,03/17/2013,02/17/2016
18542,55561.73,02/17/2016,01/01/9999
11343,46494,10/20/2008,09/04/2010
11343,52684,09/04/2010,06/23/2013
11343,55227.52,06/23/2013,12/15/2015
11343,57240.73,12/15/2015,01/01/9999
18511,45345,06/11/2007,10/25/2010
18511,50540,10/25/2010,01/23/2013
18511,53083.52,01/23/2013,06/03/2016
18511,55096.73,06/03/2016,01/01/9999
15713,43004,12/21/2008,11/30/2010
15713,51108,11/30/2010,01/25/2013
15713,53651.52,01/25/2013,02/26/2016
15713,55664.73,02/26/2016,01/01/9999
12078,43434,04/10/2004,01/04/2011
12078,50050,01/04/2011,03/01/2013
12078,52593.52,03/01/2013,07/21/2016
12078,54606.73,07/21/2016,01/01/9999
11191,46125,09/03/2008,03/30/2011
11191,49987,03/30/2011,12/18/2012
11191,52530.52,12/18/2012,04/23/2016
11191,54543.73,04/23/2016,01/01/9999
17327,43037,01/04/2005,04/05/2011
17327,49579,04/05/2011,08/18/2013
17327,52122.52,08/18/2013,06/28/2016
17327,54135.73,06/28/2016,01/01/9999
16939,46185,08/08/2008,02/22/2011
16939,52300,02/22/2011,02/08/2013
16939,54843.52,02/08/2013,02/04/2016
16939,56856.73,02/04/2016,01/01/9999
14207,43590,05/16/2008,04/15/2011
14207,52516,04/15/2011,08/31/2013
14207,55059.52,08/31/2013,11/03/2015
14207,57072.73,11/03/2015,01/01/9999
17907,46270,04/17/2004,10/05/2011
17907,49728,10/05/2011,08/03/2013
17907,52271.52,08/03/2013,01/09/2016
17907,54284.73,01/09/2016,01/01/9999
15492,46244,11/29/2005,05/07/2011
15492,51515,05/07/2011,11/23/2012
15492,54058.52,11/23/2012,03/27/2016
15492,56071.73,03/27/2016,01/01/9999
11548,45672,04/17/2004,09/11/2011
11548,51072,09/11/2011,10/21/2013
11548,53615.52,10/21/2013,12/30/2015
11548,55628.73,12/30/2015,01/01/9999
18830,44883,06/29/2004,08/30/2010
18830,49618,08/30/2010,05/06/2013
18830,52161.52,05/06/2013,03/11/2016
18830,54174.73,03/11/2016,01/01/9999
19818,44827,10/15/2005,12/29/2010
19818,50752,12/29/2010,05/16/2013
19818,53295.52,05/16/2013,03/05/2016
19818,55308.73,03/05/2016,01/01/9999
10043,43666,03/14/2007,05/31/2011
10043,50567,05/31/2011,11/17/2012
10043,53110.52,11/17/2012,08/13/2016
10043,55123.73,08/13/2016,01/01/9999
19092,45775,08/27/2006,08/17/2011
19092,50691,08/17/2011,01/17/2013
19092,53234.52,01/17/2013,09/03/2016
19092,55247.73,09/03/2016,01/01/9999
19491,44337,12/27/2008,09/23/2010
19491,51069,09/23/2010,06/18/2013
19491,53612.52,06/18/2013,06/30/2016
19491,55625.73,06/30/2016,01/01/9999
15382,44096,02/04/2009,07/14/2010
15382,51760,07/14/2010,03/13/2013
15382,54303.52,03/13/2013,09/10/2016
15382,56316.73,09/10/2016,01/01/9999
16317,43754,11/12/2006,04/25/2011
16317,49164,04/25/2011,09/22/2013
16317,51707.52,09/22/2013,01/24/2016
16317,53720.73,01/24/2016,01/01/9999
19831,45303,07/19/2003,10/31/2011
19831,49970,10/31/2011,07/08/2013
19831,52513.52,07/08/2013,02/01/2016
19831,54526.73,02/01/2016,01/01/9999
13760,45399,02/05/2006,11/24/2010
13760,51334,11/24/2010,09/15/2013
13760,53877.52,09/15/2013,06/23/2016
13760,55890.73,06/23/2016,01/01/9999
16122,45371,06/25/2006,10/25/2010
16122,52047,10/25/2010,02/02/2013
16122,54590.52,02/02/2013,03/09/2016
16122,56603.73,03/09/2016,01/01/9999
14574,44138,05/14/2005,09/15/2011
14574,52951,09/15/2011,05/19/2013
14574,55494.52,05/19/2013,10/06/2016
14574,57507.73,10/06/2016,01/01/9999
19323,43248,02/26/2008,12/11/2010
19323,50584,12/11/2010,10/07/2013
19323,53127.52,10/07/2013,03/09/2016
19323,55140.73,03/09/2016,01/01/9999
10448,55970,05/06/2007,09/04/2010
10448,61516,09/04/2010,11/26/2012
10448,64059.52,11/26/2012,05/24/2016
10448,66072.73,05/24/2016,01/01/9999
18505,57954,09/01/2005,05/26/2010
