emp_no,salary,from_date,to_date
15539,49464,10/27/2015,12/10/2016
15539,51587.51,12/10/2016,01/01/9999
16000,50000,2/9/2013,07/26/2015
16000,51836,7/26/2015,07/17/2017
16000,50000,7/17/2017,01/01/9999
19667,50000,6/10/2011,03/17/2015
19667,53643,3/17/2015,03/18/2017
19667,55766.51,3/18/2017,01/01/9999
10908,50000,5/25/2013,12/28/2015
10908,55000,12/28/2015,04/12/2017
10908,52245.51,4/12/2017,01/01/9999
14168,106352,2/27/2010,10/23/2015
14168,51519,10/23/2015,10/03/2017
14168,53642.51,10/3/2017,01/01/9999
10775,50000,10/29/2010,05/14/2015
10775,50316,5/14/2015,08/31/2017
10775,52439.51,8/31/2017,01/01/9999
17431,50000,6/19/2012,01/26/2015
17431,50427,1/26/2015,07/05/2017
17431,52550.51,7/5/2017,01/01/9999
19433,81845,4/11/2012,05/20/2015
19433,49506,5/20/2015,05/22/2017
19433,51629.51,5/22/2017,01/01/9999
14206,50000,11/18/2012,07/30/2015
14206,48105,7/30/2015,12/28/2016
14206,50000,12/28/2016,01/01/9999
18332,51000,11/12/2010,05/01/2015
18332,50406,5/1/2015,05/04/2017
18332,52529.51,5/4/2017,01/01/9999
15958,50000,10/2/2009,06/17/2015
15958,48812,6/17/2015,09/11/2017
15958,50935.51,9/11/2017,01/01/9999
14311,50000,4/7/2011,04/10/2015
14311,51745,4/10/2015,11/07/2016
14311,53868.51,11/7/2016,01/01/9999
13104,50000,11/7/2010,03/24/2015
13104,48229,3/24/2015,12/30/2016
13104,50352.51,12/30/2016,01/01/9999
16996,50000,2/26/2013,04/14/2015
16996,48131,4/14/2015,11/25/2016
16996,50254.51,11/25/2016,01/01/9999
11438,26135,8/21/2012,05/22/2015
11438,38341,5/22/2015,01/13/2017
11438,40464.51,1/13/2017,01/01/9999
13595,27437,3/28/2013,08/10/2015
13595,38123,8/10/2015,01/25/2017
13595,40246.51,1/25/2017,01/01/9999
17883,31214,12/11/2010,08/16/2015
17883,38967,8/16/2015,03/03/2017
17883,41090.51,3/3/2017,01/01/9999
16953,33926,4/13/2010,03/01/2015
16953,37909,3/1/2015,12/11/2016
16953,40032.51,12/11/2016,01/01/9999
12468,32560,12/27/2009,10/17/2015
12468,38671,10/17/2015,12/12/2016
12468,40794.51,12/12/2016,01/01/9999
12740,25360,10/15/2009,01/13/2015
12740,37173,1/13/2015,11/04/2016
12740,39296.51,11/4/2016,01/01/9999
19545,25107,5/7/2009,07/09/2015
19545,37375,7/9/2015,04/20/2017
19545,39498.51,4/20/2017,01/01/9999
16922,28998,8/23/2011,02/12/2015
16922,38774,2/12/2015,05/18/2017
16922,40897.51,5/18/2017,01/01/9999
15678,32680,3/22/2011,04/22/2015
15678,36609,4/22/2015,06/11/2017
15678,38732.51,6/11/2017,01/01/9999
18327,33412,6/20/2012,05/26/2015
18327,37892,5/26/2015,03/30/2017
18327,40015.51,3/30/2017,01/01/9999
17004,27465,8/27/2010,03/04/2015
17004,36331,3/4/2015,05/19/2017
17004,38454.51,5/19/2017,01/01/9999
12287,29723,4/9/2013,03/06/2015
12287,36413,3/6/2015,12/01/2016
12287,38536.51,12/1/2016,01/01/9999
11984,27839,2/14/2013,02/24/2015
11984,37565,2/24/2015,02/05/2017
11984,39688.51,2/5/2017,01/01/9999
11592,31097,11/22/2012,08/04/2015
11592,38528,8/4/2015,02/26/2017
11592,40651.51,2/26/2017,01/01/9999
16727,28528,10/17/2013,05/12/2015
16727,37369,5/12/2015,10/31/2016
16727,39492.51,10/31/2016,01/01/9999
13976,31239,8/15/2009,05/20/2015
13976,38419,5/20/2015,04/19/2017
13976,40542.51,4/19/2017,01/01/9999
11877,27858,10/20/2010,04/26/2015
11877,36358,4/26/2015,06/10/2017
11877,38481.51,6/10/2017,01/01/9999
12560,32574,12/6/2012,10/22/2015
12560,38983,10/22/2015,07/27/2017
12560,41106.51,7/27/2017,01/01/9999
13366,32529,9/28/2010,07/04/2015
13366,37760,7/4/2015,05/30/2017
13366,39883.51,5/30/2017,01/01/9999
15722,32580,2/4/2014,12/06/2015
15722,36792,12/6/2015,12/22/2016
15722,38915.51,12/22/2016,01/01/9999
13271,32342,11/30/2010,01/09/2015
13271,36698,1/9/2015,01/19/2017
13271,38821.51,1/19/2017,01/01/9999
15942,32140,1/25/2013,02/10/2015
15942,38038,2/10/2015,12/17/2016
15942,40161.51,12/17/2016,01/01/9999
18558,28135,11/3/2012,10/16/2015
18558,38997,10/16/2015,08/12/2017
18558,41120.51,8/12/2017,01/01/9999
18415,29021,11/22/2011,08/16/2015
18415,38017,8/16/2015,06/22/2017
18415,40140.51,6/22/2017,01/01/9999
16150,28499,12/18/2013,02/20/2015
16150,38132,2/20/2015,11/15/2016
16150,40255.51,11/15/2016,01/01/9999
19983,34929,12/22/2013,12/29/2015
19983,36412,12/29/2015,03/30/2017
19983,38535.51,3/30/2017,01/01/9999
14516,25900,2/14/2012,10/19/2015
14516,37401,10/19/2015,05/09/2017
14516,39524.51,5/9/2017,01/01/9999
10960,28947,10/24/2011,01/26/2015
10960,36226,1/26/2015,08/19/2017
10960,38349.51,8/19/2017,01/01/9999
13690,34616,4/26/2014,03/06/2015
13690,36478,3/6/2015,10/01/2017
13690,38601.51,10/1/2017,01/01/9999
12414,31083,9/14/2010,09/27/2015
12414,38702,9/27/2015,12/13/2016
12414,40825.51,12/13/2016,01/01/9999
13950,25296,2/12/2011,04/10/2015
13950,29035,4/10/2015,03/18/2017
13950,31158.51,3/18/2017,01/01/9999
14436,24178,4/10/2013,11/11/2015
14436,30829,11/11/2015,01/14/2017
14436,32952.51,1/14/2017,01/01/9999
14912,25144,8/5/2010,10/17/2015
14912,29165,10/17/2015,12/25/2016
14912,31288.51,12/25/2016,01/01/9999
12828,24631,6/13/2011,12/15/2015
12828,29455,12/15/2015,07/24/2017
12828,31578.51,7/24/2017,01/01/9999
10879,25416,4/18/2010,10/07/2015
10879,30868,10/7/2015,10/22/2016
10879,32991.51,10/22/2016,01/01/9999
11802,24183,12/2/2011,08/04/2015
11802,30885,8/4/2015,02/19/2017
11802,33008.51,2/19/2017,01/01/9999
13182,24356,7/4/2011,09/04/2015
13182,30521,9/4/2015,05/19/2017
13182,32644.51,5/19/2017,01/01/9999
17037,24951,10/15/2010,04/06/2015
17037,29091,4/6/2015,11/13/2016
17037,31214.51,11/13/2016,01/01/9999
11185,24023,11/1/2011,05/24/2015
11185,29663,5/24/2015,03/05/2017
11185,31786.51,3/5/2017,01/01/9999
11229,25468,12/19/2012,03/21/2015
11229,29054,3/21/2015,12/11/2016
11229,31177.51,12/11/2016,01/01/9999
13462,25979,2/21/2011,01/27/2015
13462,29711,1/27/2015,05/06/2017
13462,31834.51,5/6/2017,01/01/9999
19140,25640,8/11/2012,04/18/2015
19140,30520,4/18/2015,12/10/2016
19140,32643.51,12/10/2016,01/01/9999
16235,25743,6/3/2012,02/16/2015
16235,29758,2/16/2015,03/29/2017
16235,31881.51,3/29/2017,01/01/9999
10912,24001,5/23/2009,08/23/2015
10912,29331,8/23/2015,08/13/2017
10912,31454.51,8/13/2017,01/01/9999
19646,25011,12/30/2011,08/23/2015
19646,30111,8/23/2015,02/01/2017
19646,32234.51,2/1/2017,01/01/9999
19107,25824,11/26/2013,12/25/2015
19107,30844,12/25/2015,02/16/2017
19107,32967.51,2/16/2017,01/01/9999
10492,24581,7/30/2009,06/14/2015
10492,29572,6/14/2015,04/27/2017
10492,31695.51,4/27/2017,01/01/9999
19811,24899,1/28/2011,03/19/2015
19811,29935,3/19/2015,12/02/2016
19811,32058.51,12/2/2016,01/01/9999
13897,24783,8/27/2012,12/17/2015
13897,29994,12/17/2015,12/18/2016
13897,32117.51,12/18/2016,01/01/9999
11492,24977,7/5/2012,11/15/2015
11492,30463,11/15/2015,08/26/2017
11492,32586.51,8/26/2017,01/01/9999
12821,25594,1/15/2012,04/15/2015
12821,30333,4/15/2015,08/03/2017
12821,32456.51,8/3/2017,01/01/9999
19122,25656,12/2/2009,05/07/2015
19122,29050,5/7/2015,07/18/2017
19122,31173.51,7/18/2017,01/01/9999
12765,25580,10/12/2013,05/10/2015
12765,29356,5/10/2015,12/26/2016
12765,31479.51,12/26/2016,01/01/9999
17481,24443,8/29/2010,01/26/2015
17481,30260,1/26/2015,04/09/2017
17481,32383.51,4/9/2017,01/01/9999
16103,24851,11/14/2013,12/28/2015
16103,30261,12/28/2015,10/12/2016
16103,32384.51,10/12/2016,01/01/9999
13460,24309,3/9/2011,01/30/2015
13460,30102,1/30/2015,02/20/2017
13460,32225.51,2/20/2017,01/01/9999
16412,24666,9/5/2009,05/19/2015
16412,30350,5/19/2015,09/30/2017
16412,32473.51,9/30/2017,01/01/9999
14952,24720,3/22/2012,10/13/2015
14952,30639,10/13/2015,08/21/2017
14952,32762.51,8/21/2017,01/01/9999
10128,24775,3/9/2013,05/26/2015
10128,29915,5/26/2015,02/08/2017
10128,32038.51,2/8/2017,01/01/9999
15103,24427,1/25/2014,09/21/2015
15103,30616,9/21/2015,01/28/2017
15103,32739.51,1/28/2017,01/01/9999
17823,51000,8/11/2009,01/22/2015
17823,62776,1/22/2015,12/30/2016
17823,64899.51,12/30/2016,01/01/9999
14950,53406,5/22/2010,01/16/2015
14950,62520,1/16/2015,07/18/2017
14950,64643.51,7/18/2017,01/01/9999
17351,51834,12/16/2012,07/03/2015
17351,63746,7/3/2015,05/18/2017
17351,65869.51,5/18/2017,01/01/9999
16711,52062,3/29/2012,03/31/2015
16711,63393,3/31/2015,06/28/2017
16711,65516.51,6/28/2017,01/01/9999
15060,50652,12/25/2009,06/27/2015
15060,63486,6/27/2015,05/08/2017
15060,65609.51,5/8/2017,01/01/9999
15488,52016,11/1/2011,12/04/2015
15488,62455,12/4/2015,07/10/2017
15488,64578.51,7/10/2017,01/01/9999
14397,53400,11/6/2012,06/18/2015
14397,61679,6/18/2015,10/21/2016
14397,63802.51,10/21/2016,01/01/9999
12008,53718,1/2/2012,01/03/2015
12008,63712,1/3/2015,04/01/2017
12008,65835.51,4/1/2017,01/01/9999
13784,52503,10/22/2010,01/02/2015
13784,63084,1/2/2015,05/15/2017
13784,65207.51,5/15/2017,01/01/9999
13714,54474,5/7/2013,08/04/2015
13714,60787,8/4/2015,11/26/2016
13714,62910.51,11/26/2016,01/01/9999
17952,52836,9/21/2009,04/21/2015
17952,62675,4/21/2015,08/08/2017
17952,64798.51,8/8/2017,01/01/9999
15413,51219,2/28/2011,04/14/2015
15413,61839,4/14/2015,03/06/2017
15413,63962.51,3/6/2017,01/01/9999
14103,52667,12/28/2012,12/12/2015
14103,60193,12/12/2015,11/08/2016
14103,62316.51,11/8/2016,01/01/9999
10526,53793,1/9/2010,08/31/2015
10526,62278,8/31/2015,10/26/2016
10526,64401.51,10/26/2016,01/01/9999
15052,54355,5/21/2009,06/05/2015
15052,63016,6/5/2015,05/03/2017
15052,65139.51,5/3/2017,01/01/9999
14526,51167,2/1/2012,06/05/2015
14526,63656,6/5/2015,09/19/2017
14526,65779.51,9/19/2017,01/01/9999
10789,50471,6/26/2012,06/05/2015
10789,63082,6/5/2015,01/09/2017
10789,65205.51,1/9/2017,01/01/9999
17681,51682,10/16/2010,06/11/2015
17681,59596,6/11/2015,06/30/2017
17681,61719.51,6/30/2017,01/01/9999
10673,51994,4/7/2013,11/11/2015
10673,63231,11/11/2015,02/26/2017
10673,65354.51,2/26/2017,01/01/9999
15411,50578,11/11/2009,10/24/2015
15411,59971,10/24/2015,11/03/2016
15411,62094.51,11/3/2016,01/01/9999
11245,50035,6/14/2013,03/13/2015
11245,59961,3/13/2015,09/12/2017
11245,62084.51,9/12/2017,01/01/9999
13463,50638,7/20/2009,10/01/2015
13463,63361,10/1/2015,03/27/2017
13463,65484.51,3/27/2017,01/01/9999
10637,54342,1/25/2013,08/03/2015
10637,62666,8/3/2015,11/16/2016
10637,64789.51,11/16/2016,01/01/9999
11393,54151,7/31/2010,08/21/2015
11393,62541,8/21/2015,04/23/2017
11393,64664.51,4/23/2017,01/01/9999
10794,54204,2/10/2011,08/06/2015
10794,59863,8/6/2015,10/31/2016
10794,61986.51,10/31/2016,01/01/9999
15911,54484,4/25/2013,09/15/2015
15911,62094,9/15/2015,01/10/2017
15911,64217.51,1/10/2017,01/01/9999
11939,53251,5/18/2012,01/04/2015
11939,59521,1/4/2015,08/22/2017
11939,61644.51,8/22/2017,01/01/9999
15324,54249,9/13/2011,08/20/2015
15324,63222,8/20/2015,10/03/2017
15324,65345.51,10/3/2017,01/01/9999
14241,51329,9/5/2009,08/30/2015
14241,59550,8/30/2015,09/29/2017
14241,61673.51,9/29/2017,01/01/9999
10102,54043,4/23/2010,01/09/2015
10102,63371,1/9/2015,03/17/2017
10102,65494.51,3/17/2017,01/01/9999
19154,46061,3/9/2014,02/03/2015
19154,50286,2/3/2015,11/05/2016
19154,52409.51,11/5/2016,01/01/9999
14511,44497,9/20/2012,04/23/2015
14511,52390,4/23/2015,10/08/2017
14511,54513.51,10/8/2017,01/01/9999
12366,43490,1/14/2014,04/24/2015
12366,49159,4/24/2015,08/04/2017
12366,51282.51,8/4/2017,01/01/9999
16483,46736,12/23/2011,12/02/2015
16483,52420,12/2/2015,12/25/2016
16483,54543.51,12/25/2016,01/01/9999
19317,43269,8/12/2010,12/07/2015
19317,50051,12/7/2015,04/18/2017
19317,52174.51,4/18/2017,01/01/9999
19851,45389,4/24/2011,09/28/2015
19851,52217,9/28/2015,04/23/2017
19851,54340.51,4/23/2017,01/01/9999
15540,46345,2/3/2012,11/10/2015
15540,54118,11/10/2015,06/16/2017
15540,56241.51,6/16/2017,01/01/9999
15025,46080,6/7/2010,04/13/2015
15025,52900,4/13/2015,01/06/2017
15025,55023.51,1/6/2017,01/01/9999
18299,45375,8/10/2013,05/26/2015
18299,50334,5/26/2015,09/23/2017
18299,52457.51,9/23/2017,01/01/9999
12412,46219,2/16/2010,03/24/2015
12412,53058,3/24/2015,04/20/2017
12412,55181.51,4/20/2017,01/01/9999
17777,45776,5/29/2009,10/06/2015
17777,52511,10/6/2015,08/01/2017
17777,54634.51,8/1/2017,01/01/9999
19007,46881,4/8/2011,01/06/2015
19007,53922,1/6/2015,12/10/2016
19007,56045.51,12/10/2016,01/01/9999
11673,46771,3/14/2012,10/21/2015
11673,53629,10/21/2015,07/06/2017
11673,55752.51,7/6/2017,01/01/9999
17801,45932,5/12/2009,02/26/2015
17801,53078,2/26/2015,10/26/2016
17801,55201.51,10/26/2016,01/01/9999
19793,46868,2/24/2011,07/03/2015
19793,50219,7/3/2015,09/06/2017
19793,52342.51,9/6/2017,01/01/9999
19529,44240,4/2/2012,08/09/2015
19529,53983,8/9/2015,01/13/2017
19529,56106.51,1/13/2017,01/01/9999
11800,46938,1/18/2010,05/30/2015
11800,50600,5/30/2015,10/04/2017
11800,52723.51,10/4/2017,01/01/9999
18293,44431,6/5/2011,05/27/2015
18293,50913,5/27/2015,05/02/2017
18293,53036.51,5/2/2017,01/01/9999
19585,43833,7/1/2012,06/15/2015
19585,49025,6/15/2015,12/29/2016
19585,51148.51,12/29/2016,01/01/9999
17007,45496,9/23/2013,04/19/2015
17007,52002,4/19/2015,03/20/2017
17007,54125.51,3/20/2017,01/01/9999
10603,45073,12/27/2010,12/11/2015
10603,53750,12/11/2015,10/23/2016
10603,55873.51,10/23/2016,01/01/9999
13278,46302,11/18/2010,01/08/2015
13278,51574,1/8/2015,08/01/2017
13278,53697.51,8/1/2017,01/01/9999
19982,44177,7/26/2012,04/28/2015
19982,49176,4/28/2015,02/05/2017
19982,51299.51,2/5/2017,01/01/9999
11039,45012,12/13/2011,07/02/2015
11039,54081,7/2/2015,04/07/2017
11039,56204.51,4/7/2017,01/01/9999
15343,46731,7/28/2009,12/31/2015
15343,51990,12/31/2015,01/10/2017
15343,54113.51,1/10/2017,01/01/9999
12219,43251,7/29/2013,04/01/2015
12219,53536,4/1/2015,07/21/2017
12219,55659.51,7/21/2017,01/01/9999
17866,43802,9/22/2012,06/23/2015
17866,51440,6/23/2015,09/09/2017
17866,53563.51,9/9/2017,01/01/9999
15533,44272,5/28/2011,10/06/2015
15533,51689,10/6/2015,11/18/2016
15533,53812.51,11/18/2016,01/01/9999
19539,45631,5/29/2012,06/11/2015
19539,50458,6/11/2015,11/22/2016
19539,52581.51,11/22/2016,01/01/9999
15881,46958,5/16/2013,01/14/2015
15881,50686,1/14/2015,10/18/2016
15881,52809.51,10/18/2016,01/01/9999
10712,57917,11/29/2013,06/09/2015
10712,65863,6/9/2015,04/02/2017
10712,67986.51,4/2/2017,01/01/9999
17536,58664,9/5/2010,03/25/2015
17536,63556,3/25/2015,08/27/2017
17536,65679.51,8/27/2017,01/01/9999
15393,57278,10/24/2009,11/21/2015
15393,65108,11/21/2015,11/23/2016
15393,67231.51,11/23/2016,01/01/9999
16292,57599,11/30/2011,11/04/2015
16292,63068,11/4/2015,05/09/2017
16292,65191.51,5/9/2017,01/01/9999
17371,57050,10/4/2010,06/30/2015
17371,63745,6/30/2015,05/05/2017
17371,65868.51,5/5/2017,01/01/9999
12498,58060,1/18/2012,04/15/2015
12498,66144,4/15/2015,10/14/2016
12498,68267.51,10/14/2016,01/01/9999
16657,57874,8/18/2011,05/19/2015
16657,66717,5/19/2015,08/22/2017
16657,68840.51,8/22/2017,01/01/9999
18052,58842,9/30/2013,02/07/2015
18052,64840,2/7/2015,03/16/2017
18052,66963.51,3/16/2017,01/01/9999
13733,58852,11/23/2010,12/03/2015
13733,64539,12/3/2015,03/28/2017
13733,66662.51,3/28/2017,01/01/9999
13136,58980,3/3/2014,03/31/2015
13136,63691,3/31/2015,07/11/2017
13136,65814.51,7/11/2017,01/01/9999
18185,57077,8/11/2012,10/10/2015
18185,66395,10/10/2015,08/27/2017
18185,68518.51,8/27/2017,01/01/9999
19738,58386,8/7/2013,09/07/2015
19738,64981,9/7/2015,01/25/2017
19738,67104.51,1/25/2017,01/01/9999
12744,58266,6/18/2011,04/26/2015
12744,65734,4/26/2015,03/02/2017
12744,67857.51,3/2/2017,01/01/9999
19376,57986,9/10/2011,10/18/2015
19376,65776,10/18/2015,11/04/2016
19376,67899.51,11/4/2016,01/01/9999
16124,58979,10/17/2012,09/29/2015
16124,63876,9/29/2015,04/29/2017
16124,65999.51,4/29/2017,01/01/9999
18626,56750,12/9/2011,04/30/2015
18626,64756,4/30/2015,12/13/2016
18626,66879.51,12/13/2016,01/01/9999
17527,58094,8/23/2011,09/23/2015
17527,66755,9/23/2015,07/31/2017
17527,68878.51,7/31/2017,01/01/9999
11998,57308,5/12/2009,10/17/2015
11998,63020,10/17/2015,10/22/2016
11998,65143.51,10/22/2016,01/01/9999
10556,58196,3/28/2011,02/05/2015
10556,63423,2/5/2015,04/26/2017
10556,65546.51,4/26/2017,01/01/9999
18923,56542,9/4/2013,05/11/2015
18923,66606,5/11/2015,07/26/2017
18923,68729.51,7/26/2017,01/01/9999
12397,58849,7/5/2013,12/05/2015
12397,63904,12/5/2015,02/07/2017
12397,66027.51,2/7/2017,01/01/9999
10533,58413,5/21/2010,12/25/2015
10533,66504,12/25/2015,12/26/2016
10533,68627.51,12/26/2016,01/01/9999
19579,58197,12/20/2012,05/03/2015
19579,65800,5/3/2015,03/27/2017
19579,67923.51,3/27/2017,01/01/9999
14441,58850,3/16/2013,12/28/2015
14441,64824,12/28/2015,04/29/2017
14441,66947.51,4/29/2017,01/01/9999
14512,58684,11/27/2010,03/10/2015
14512,66662,3/10/2015,04/15/2017
14512,68785.51,4/15/2017,01/01/9999
15026,56626,7/13/2012,03/09/2015
15026,66993,3/9/2015,01/15/2017
15026,69116.51,1/15/2017,01/01/9999
12990,58253,6/12/2010,12/18/2015
12990,64178,12/18/2015,04/10/2017
12990,66301.51,4/10/2017,01/01/9999
14987,58242,12/2/2012,04/14/2015
14987,65540,4/14/2015,03/07/2017
14987,67663.51,3/7/2017,01/01/9999
12836,57744,10/17/2009,03/16/2015
12836,66462,3/16/2015,08/24/2017
12836,68585.51,8/24/2017,01/01/9999
13885,56592,11/15/2011,01/21/2015
13885,64974,1/21/2015,12/28/2016
13885,67097.51,12/28/2016,01/01/9999
13505,24163,11/9/2012,01/22/2015
13505,29454,1/22/2015,07/01/2017
13505,31577.51,7/1/2017,01/01/9999
13954,24272,1/17/2012,05/09/2015
13954,30664,5/9/2015,03/10/2017
13954,32787.51,3/10/2017,01/01/9999
10483,24916,8/3/2013,03/22/2015
10483,30295,3/22/2015,05/05/2017
10483,32418.51,5/5/2017,01/01/9999
16160,24291,4/1/2010,01/28/2015
16160,30732,1/28/2015,05/28/2017
16160,32855.51,5/28/2017,01/01/9999
17485,23229,5/16/2012,08/20/2015
17485,30216,8/20/2015,06/13/2017
17485,32339.51,6/13/2017,01/01/9999
11465,23170,9/16/2012,09/13/2015
11465,30590,9/13/2015,04/07/2017
11465,32713.51,4/7/2017,01/01/9999
15311,23936,5/17/2013,05/24/2015
15311,29297,5/24/2015,09/15/2017
15311,31420.51,9/15/2017,01/01/9999
17831,24489,9/18/2011,02/18/2015
17831,30697,2/18/2015,07/11/2017
17831,32820.51,7/11/2017,01/01/9999
12992,24370,7/5/2012,12/10/2015
12992,30371,12/10/2015,12/08/2016
12992,32494.51,12/8/2016,01/01/9999
19981,24527,8/28/2013,07/24/2015
19981,30852,7/24/2015,07/30/2017
19981,32975.51,7/30/2017,01/01/9999
15770,23304,6/11/2011,04/28/2015
15770,29323,4/28/2015,03/28/2017
15770,31446.51,3/28/2017,01/01/9999
14988,23748,9/30/2009,08/12/2015
14988,30049,8/12/2015,03/04/2017
14988,32172.51,3/4/2017,01/01/9999
18955,23972,5/4/2011,03/31/2015
18955,29696,3/31/2015,09/02/2017
18955,31819.51,9/2/2017,01/01/9999
11543,23601,12/14/2009,02/10/2015
11543,29426,2/10/2015,11/17/2016
11543,31549.51,11/17/2016,01/01/9999
12186,24326,3/28/2010,05/18/2015
12186,29953,5/18/2015,10/17/2016
12186,32076.51,10/17/2016,01/01/9999
12903,24940,9/1/2012,10/31/2015
